date,type,operator,fatalities,location,country,cat,year,FatalFlag
29-APR-1931,Ford 5-AT-C Tri-Motor,National Air Transport,0,"near Elyria, OH",USA,A1,1931,0
11-JUN-1931,Junkers G.24,AB Aerotransport,0,MalmÃ¶-Bulltofta...,Sweden,O1,1931,0
16-JUN-1931,A.W. Argosy IA,Imperial Airways,0,Aswan,Egypt,A1,1931,0
04-AUG-1931,Fokker F.IX,KLM,0,Rotterdam-Waalha...,Netherlands,A1,1931,0
07-AUG-1931,Fokker F.10A,Mexicana,0,"Miami, FL",USA,A1,1931,0
09-AUG-1931,Ford 5-AT-B Tri-Motor,American Airways,6,"Cincinnati, OH",USA,A1,1931,1
19-AUG-1931,Ford 5-AT-B Tri-Motor,TWA,0,"Pittsburgh, PA",USA,A1,1931,0
27-AUG-1931,Sikorsky S.41B,Boston-Maine Airways,1,"near Gloucester, MA",USA,A1,1931,1
19-SEP-1931,Ford XB-906 (Tri-Motor),Ford Motor Company,2,"near Dearborn, MI",USA,A1,1931,1
27-OCT-1931,Ford 5-AT-C Tri-Motor,National Air Transport,0,"Ashley, IN",USA,A1,1931,0
19-DEC-1931,Ford 4-AT-E Tri-Motor,TWA,1,"Oklahoma City, OK",USA,A1,1931,1
08-FEB-1932,Fokker F.10A,Transamerican Airlines,0,"Detroit, MI",USA,O1,1932,0
15-MAR-1932,Ford 4-AT-B Tri-Motor,Skyway,0,Blackwell Airpor...,USA,O1,1932,0
19-MAR-1932,Fokker F.10A,American Airways,7,"Calimesa, CA",USA,A1,1932,1
27-JUN-1932,Junkers PS-5 (G.24),Dobrolet,0,Nizhnetambovsk,Russia,A1,1932,0
10-JUL-1932,Boeing 80A,Boeing Air Transport,0,"Sterling, IL",USA,A1,1932,0
16-JUL-1932,Ford 5-AT-C Tri-Motor,Panagra,9,near Vitacura,Chile,A1,1932,1
29-JUL-1932,Junkers Ju-52/3mce,Deutsche Lufthansa,0,near Schleissheim Aer...,Germany,A2,1932,0
31-AUG-1932,Junkers G.24,AB Aerotransport,2,Tubbergen,Netherlands,A1,1932,1
08-SEP-1932,Fokker F.10A,American Airways,3,"near Salt Flat, TX",USA,A1,1932,1
17-SEP-1932,LiorÃ© et Olivier 212,Air Union,1,Selsdon Park,U.K.,A1,1932,1
02-OCT-1932,Ford 5-AT-B Tri-Motor,Pan Am,0,"El Aceituno, Cho...",Honduras,A1,1932,0
26-OCT-1932,Ford 5-AT-D Tri-Motor,LAB,2,"Villamontes, Gra...",Bolivia,A1,1932,1
11-DEC-1932,Fokker F.10A,Western Air Express,0,"Lynndyl, UT",USA,U1,1932,0
14-DEC-1932,Ford 5-AT-B Tri-Motor,TWA,2,Amarillo-English...,USA,A1,1932,1
13-JAN-1933,LiorÃ© et Olivier 213,Air Union,0,Poix-de-Picardie,France,A1,1933,0
14-JAN-1933,Curtiss Condor 18,Eastern Air Transport,2,"Newark, NJ",USA,A1,1933,1
24-JAN-1933,Ford 5-AT-D Tri-Motor,Pacific Air Transport,2,"Eugene, OR",USA,A1,1933,1
10-FEB-1933,Ford 5-AT-B Tri-Motor,TWA,0,"Bakersfield, CA",USA,A1,1933,0
22-MAR-1933,Ford JR-3 (5-AT-C) Tri-Motor,USMC,0,"Virginia Beach, VA",USA,A1,1933,0
28-MAR-1933,A.W. Argosy II,Imperial Airways,15,near Diksmuide,Belgium,A1,1933,1
31-MAR-1933,Ford 4-AT-B Tri-Motor,Private,7,"near Neodesha, KS",USA,A1,1933,1
27-MAY-1933,Junkers Ju-52/1mcai,RDL,0,Zechliner HÃ¼tte,Germany,A1,1933,0
02-JUN-1933,Ford 4-AT-E Tri-Motor,Plane Speaker Corporation,0,Hempstead-Roosev...,USA,O1,1933,0
11-AUG-1933,Dornier Do R4 Superwal,SANA,0,near Valencia,Spain,A1,1933,0
13-AUG-1933,Junkers PS-5 (G.24),Dobrolet,0,unknown,Russia,U1,1933,0
29-AUG-1933,Ford 5-AT-B Tri-Motor,TWA,5,"near Quay, NM",USA,A1,1933,1
21-SEP-1933,Curtiss T-32 Condor II,Eastern Air Transport,0,"Newark, NJ",USA,A1,1933,0
18-OCT-1933,Ford 4-AT-B Tri-Motor,Private,3,Managua,Nicaragua,A1,1933,1
16-NOV-1933,LiorÃ© et Olivier 213,Air France,0,near Beauvais,France,A1,1933,0
21-NOV-1933,Kalinin K-7,Kalinin Design Bureau,15,near Kharkov,Ukraine,A1,1933,1
24-NOV-1933,Fokker F.10A,AerovÃ­as Centrales,0,LeÃ³n,Mexico,A1,1933,0
15-JAN-1934,Dewoitine D.332,Air France,10,Corbigny,France,A1,1934,1
05-MAR-1934,Ford 4-AT-B Tri-Motor,Morgan Air Lines,1,ToncontÃ­n,Honduras,A1,1934,1
10-MAR-1934,Junkers F.24k2ay (G.24),Deutsche Lufthansa,0,Gliwice,Poland,A1,1934,0
22-MAR-1934,Ford 5-AT-C Tri-Motor,Panagra,4,Lima-Limatambo A...,Peru,A1,1934,1
31-MAY-1934,LiorÃ© et Olivier 213,Air France,2,Croydon,U.K.,A1,1934,1
09-JUN-1934,Curtiss T-32 Condor II,American Airways,7,near Livingston Manor...,USA,A1,1934,1
11-JUN-1934,Ford C-4A (5-AT-D) Tri-Motor,USAAC,0,"Camp Skeel, Osco...",USA,A1,1934,0
11-JUN-1934,Ford 5-AT-C Tri-Motor,Panagra,5,Junin,Argentina,A1,1934,1
23-JUN-1934,Ford 4-AT-B Tri-Motor,Mulzer Flying Service,0,"Columbus, OH",USA,O1,1934,0
01-JUL-1934,Ford 4-AT-D Tri-Motor,Private,0,"Lima, OH",USA,A1,1934,0
27-JUL-1934,Curtiss AT-32C Condor II,Swissair,12,Wurmlingen/Tuttl...,Germany,A1,1934,1
23-AUG-1934,Junkers PS-5 (G.24),Dobrolet,0,unknown,Russia,A1,1934,0
02-SEP-1934,Ford 5-AT-D Tri-Motor,Hanford's Tri-State Airlines,0,"Cochrane, WI",USA,A1,1934,0
22-SEP-1934,Handley Page W.10,National Aviation Displays,4,"Aston Clinton, B...",U.K.,A1,1934,1
27-SEP-1934,Fokker F.10A,Mexicana,0,Irapuato,Mexico,A1,1934,0
19-OCT-1934,DH.86 Express,Holyman's Airways,11,near Wilsons Promonto...,Australia,A1,1934,1
26-OCT-1934,Ford 4-AT-E Tri-Motor,Ptarmigan Airlines,0,"Flat Airport, AK...",USA,A1,1934,0
29-OCT-1934,Ford 4-AT-.  Tri-Motor,TACA de Honduras,0,La Ceiba Airport...,Honduras,O1,1934,0
06-NOV-1934,Junkers Ju-52/3mge,Deutsche Reichsbahn-Gesellschaft,5,"Gross-Rackitt, P...",Poland,A1,1934,1
15-NOV-1934,DH.86 Express,Qantas,4,"near Ilfracombe, QLD",Australia,A1,1934,1
10-DEC-1934,Ford 4-AT-E Tri-Motor,Cubana,4,near Palma Soriano,Cuba,A1,1934,1
19-DEC-1934,Curtiss AT-32B Condor II,American Airways,0,"Buffalo, NY",USA,A1,1934,0
